date,line,hours_planned,hours_down,chg_hours,sanitation_hours,break_hours,effective_hours,cfr_avg_uh,cfr_p10_uh,cfr_p90_uh,n_batches,run_hours_sum,capacity_units
2024-04-15,Q1,24.0,0.5392559932292954,0.8907542171531986,0.0,1.0,21.569989789617505,1302.200237102922,175.68704439790085,2507.599730286467,4,10.482466830133344,28088.445818347525
2024-04-15,G2,24.0,0.0,0.9041241316673554,0.0,1.0,22.095875868332644,450.88211760533596,219.71246839874124,669.9025707431917,3,6.423261996742158,9962.635301858465
2024-04-15,P3,16.0,0.607351653346018,0.3939479296217786,0.0,1.0,13.998700417032202,161.51122675389507,158.5192735805671,164.50317992722307,2,0.9862305397602067,2260.9472773151333
2024-04-16,Q1,24.0,0.3030783732337792,2.878772861757419,0.0,1.0,19.8181487650088,332.54369245961516,179.8254714394526,652.1861566008449,7,14.251242393695875,6590.400368029988
2024-04-16,G2,24.0,0.34979172697161787,0.6388810282432081,0.0,1.0,22.011327244785175,452.4306171406584,415.92543476322186,488.93579951809494,2,2.351834045779895,9958.598369443145
2024-04-16,P3,16.0,0.5550611782991437,1.3395187507944712,0.0,1.0,13.105420070906384,969.9354504921251,560.8233512307851,1444.4267609290814,3,3.692791508175514,12711.41152036312
2024-04-17,Q1,24.0,0.6052997361496719,1.1656090589112515,0.5,1.0,20.729091204939078,863.3635203192207,176.46004931414603,1812.2588689792374,3,3.9899473002200203,17896.741155714397
2024-04-17,G2,24.0,0.5639407478456886,1.3863587571822082,0.5,1.0,20.549700494972104,1107.6203367555224,264.3309091583668,2142.1236720668426,3,4.680730158165893,22761.266182466126
2024-04-17,P3,16.0,0.0,1.9367130688402336,0.5,1.0,12.563286931159766,342.0435716055113,162.63208960628666,625.3357428857464,5,8.005345038540092,4297.19153303873
2024-04-18,Q1,24.0,0.7310753716261338,3.893377172244404,0.0,1.0,18.375547456129464,1734.9934528407402,541.6537800286826,2626.172453584687,9,14.52377093421882,31881.454528748938
2024-04-18,G2,24.0,0.5563819411054102,1.4948039710258347,0.0,1.0,20.948814087868755,512.6011706970418,155.66552391069487,1145.3265122066655,4,8.495845576674906,10738.386626156205
2024-04-18,P3,16.0,0.0,2.771844569475545,0.0,1.0,12.228155430524454,1222.0580473066927,452.9570753510952,1977.5999318855759,6,11.086551782666906,14943.515747589445
2024-04-19,Q1,24.0,0.4226783975937241,2.436934144729669,0.0,1.0,20.140387457676606,1113.1126155804486,344.2223480435105,2236.145231070877,6,11.730426077340098,22418.51936181807
2024-04-19,G2,24.0,0.0,2.2715357229084967,0.0,1.0,20.728464277091504,742.8318943699168,465.15238617525944,1098.199446554961,6,4.685976180937546,15397.76438633103
2024-04-19,P3,16.0,0.0,2.3876415745153587,0.0,1.0,12.612358425484642,726.3472608094277,165.54995792529647,1528.4589187740178,5,7.220235256350309,9160.951994697476
2024-04-20,Q1,18.0,0.0,0.8475301977201115,0.5,1.0,15.652469802279889,353.0975142947917,210.4890271060391,495.7060014835444,2,5.651737960286401,5526.848179759319
2024-04-20,G2,18.0,0.0,2.619285220917074,0.5,1.0,13.880714779082926,1225.7628243702122,164.85991740177045,1893.8246957440156,7,7.209978834038676,17014.464151886034
2024-04-20,P3,12.0,0.0,2.4791810362715947,0.5,1.0,8.020818963728406,1131.8945498316605,190.82289799269614,2153.691300846203,6,6.799689835700126,9078.72127023061
2024-04-21,Q1,18.0,0.0,2.8325408747238776,0.0,1.0,14.167459125276123,949.5653241416055,181.01284674051342,2005.2351766267973,7,14.162762195019107,13452.92791655577
2024-04-21,G2,18.0,1.008908977507443,2.849029715616285,0.0,1.0,13.142061306876272,724.7473407065576,180.92617667894157,1398.0670443090967,6,10.634480281238663,9524.673983561124
2024-04-21,P3,12.0,0.11933944957289355,2.004461140927717,0.0,1.0,8.87619940949939,783.3222967807985,155.4500629783258,1779.9504729911478,4,5.4423030934276575,6952.92490813343
2024-04-22,Q1,24.0,0.0,1.6692958191886464,0.0,1.0,21.330704180811352,1098.8399773006363,169.0341646933137,2518.617764167293,5,10.453307756908217,23439.030497849333
2024-04-22,G2,24.0,0.4938798180216485,2.0819468546356226,0.0,1.0,20.42417332734273,1169.1133838500343,346.236121968881,1801.6344529257929,5,10.764782264840829,23878.17439106927
2024-04-22,P3,16.0,0.0,1.4922056041287732,0.0,1.0,13.507794395871226,295.09136015595965,166.4612999244727,465.13651181982914,3,8.401622250259845,3986.033420984689
2024-04-23,Q1,24.0,0.6254426010773751,1.6156518746282835,0.0,1.0,20.75890552429434,1003.8123490305081,341.6353003490049,1863.0755308211014,4,3.971325711337184,20838.045717644294
2024-04-23,G2,24.0,0.6088831452594792,0.7335391732782796,0.0,1.0,21.65757768146224,163.9014560418688,155.40735331692989,172.39555876680774,2,3.6898215895292403,3549.7085163315423
2024-04-23,P3,16.0,0.0,1.8921341959558637,0.0,1.0,13.107865804044136,534.072140756059,166.48650860565837,1240.7513341499566,5,12.694902330054699,7000.545950708992
2024-04-24,Q1,24.0,0.0,0.9818175488139459,0.5,1.0,21.518182451186053,506.53360947313587,266.6754864530199,735.3701510032181,3,6.317524259832009,10899.682626300762
2024-04-24,G2,24.0,0.0,3.05780644224261,0.5,1.0,19.442193557757392,792.6596975059082,156.8094748838853,1891.7982087149142,7,7.590417919899925,15411.04326434329
2024-04-24,P3,16.0,0.295519517598139,2.4065906924654654,0.5,1.0,11.797889789936395,739.3028410814878,330.16322275428024,1237.5946750563849,5,13.297889789936395,8722.213440466254
