date,line,hours_planned,hours_down,chg_hours,sanitation_hours,break_hours,effective_hours,cfr_avg_uh,cfr_p10_uh,cfr_p90_uh,cfr_avg_gph,cfr_p10_gph,cfr_p90_gph,n_batches,run_hours_sum,good_units_sum,good_gallons_sum,capacity_units,capacity_gallons
2024-11-14,HM01,24.0,3.346,0.8033333333333333,0.388,1.5,17.962666666666664,16.77964086098228,8.590802180297676,21.125665083099022,16.78122646370952,8.603041534224788,23.61852535006001,5,9.2357,138.54,143.298,301.4070955722043,301.4355772254595
2024-11-15,HM01,24.0,0.677,1.4583333333333333,0.288,1.5,20.076666666666668,19.30242563191234,17.382759832319298,21.22209143150538,11.164175696170751,6.573612020450139,15.754739371891368,2,3.2252,59.629999999999995,42.282,387.52836527002677,224.13943406012146
2024-11-16,HM01,24.0,0.869,0.6666666666666666,0.362,1.0,21.102333333333334,18.600243584177036,15.61234274011644,20.35025557143407,9.883900908331928,4.5328231371618,18.869319012933342,4,5.0746,92.27,69.771,392.50854019449855,208.57337160125644
2024-11-17,HM01,24.0,0.449,3.683333333333333,0.612,1.0,18.255666666666666,16.476210263868687,9.031209098032445,21.474322997242293,15.03374647195975,5.363262063393479,21.668354176003593,5,6.8356,115.22,80.971,300.78420250709877,274.45106434327323
2024-11-18,HM01,24.0,1.399,3.2116666666666664,0.618,1.5,17.271333333333335,21.72295097218346,17.976304911973877,26.296318209486454,5.808334186546534,5.063438410778669,13.101230571405171,5,11.6219,271.46000000000004,85.118,375.18432722423796,100.31767584724071
2024-11-19,HM01,24.0,1.886,1.8166666666666667,0.446,1.5,18.351333333333333,11.17749350119962,4.756999122538996,24.03010561416903,20.50930923177731,9.939828795966276,24.137305998856167,4,10.1064,153.24,176.116,205.1219090716813,376.37317014875595
2024-11-20,HM01,24.0,0.499,1.0,1.317,1.5,19.684,15.673446948873009,8.826488506222358,18.898127204645316,15.671797691039034,8.386482505204043,24.01812439497713,5,10.4736,151.82999999999998,170.816,308.51612974161634,308.48366575041234
2024-11-21,HM01,24.0,1.041,3.078333333333333,0.381,1.5,17.999666666666666,11.039840608535116,6.020806999811315,16.05887421725892,14.07443386190056,6.277819227075335,21.871048496725788,2,3.4363,40.75,43.993,198.71345100676257,253.33511803625612
2024-11-22,HM01,24.0,0.371,1.48,0.358,1.5,20.291,15.235115243929313,4.395371589511135,19.522314808252546,16.87543574250523,9.28711499939509,22.51023432139256,5,13.9613,145.07999999999998,239.986,309.13572341456967,342.4194666511736
2024-11-23,HM01,24.0,0.309,4.543333333333334,0.328,1.0,17.819666666666667,13.893946918280635,8.057866815777354,20.47292830189003,13.89284334823153,8.294971987568804,22.0880273439924,5,10.4899,149.66,159.30900000000003,247.5855027681215,247.56583751770313
2024-11-24,HM01,24.0,1.105,5.52,0.443,1.0,15.931999999999999,4.896174863387978,4.093356378428394,13.59568628058809,19.46376996805112,16.51071806546651,23.48619661656104,3,7.329000000000001,49.21,145.995,78.00585792349726,310.09678313099045
2024-11-25,HM01,24.0,0.979,0.6766666666666666,0.337,1.5,20.507333333333335,20.557313013743375,19.86949210039036,21.245133927096393,5.139019115312931,4.967311197473007,5.310727033152855,2,4.2888,87.25999999999999,21.814,421.5756704105067,105.38757800409405
