date,line,q10,q50,q90
2026-05-15,HM01,237.09791968234435,262.44356787888694,288.6025831299712
2026-05-16,HM01,237.1552325463671,261.99094772769377,288.94943668889687
2026-05-17,HM01,232.7242572557137,261.69766104381335,287.87996357519984
2026-05-18,HM01,235.7529021667488,262.1573821983354,287.4386786596349
2026-05-19,HM01,231.28363319209927,262.2025136938569,288.9462787762997
2026-05-20,HM01,235.13120884961688,262.8765016573976,290.59124599834405
2026-05-21,HM01,234.7856695039881,263.5476929912476,290.42430287551656
2026-05-22,HM01,233.59773316243505,262.12158027080926,287.4767546243574
2026-05-23,HM01,231.5207636916961,263.77101382015877,289.56663138803935
2026-05-24,HM01,234.7817895826316,262.71057647327564,288.71736704606695
2026-05-25,HM01,234.7656011423065,263.7686200685033,288.71736503851287
2026-05-26,HM01,228.8640263344474,259.8048547043398,285.97030307542957
2026-05-27,HM01,232.377377835865,261.2436150400813,290.5826077580758
2026-05-28,HM01,237.2529999171892,264.22929356614463,290.1577023533354
2026-05-29,HM01,229.92577360617048,261.40576537668085,288.9323273577673
2026-05-30,HM01,231.69395926977765,260.4052949158637,288.9948035440199
2026-05-31,HM01,235.2326163874369,263.13478963568787,291.0390617639292
2026-06-01,HM01,232.706331745082,258.9041614303625,288.7095167537099
2026-06-02,HM01,233.69296640979542,260.21913983887407,289.1466229868224
2026-06-03,HM01,234.18187605118024,261.91310964217377,288.3512864227504
2026-06-04,HM01,235.0924196583109,262.06228539448364,288.2236841548336
2026-06-05,HM01,236.3159044605188,260.2215493261659,288.9902616712309
2026-06-06,HM01,232.36935370360095,261.06456649287134,287.91825331043816
2026-06-07,HM01,234.32885512859278,261.1125535988616,291.0019220492833
2026-06-08,HM01,235.3802505932653,262.21111743106354,288.4588709135422
2026-06-09,HM01,234.75370899231214,261.18529749225365,288.5156829331315
2026-06-10,HM01,232.46375454851267,259.93817507037147,287.4545662873525
2026-06-11,HM01,231.0081227681441,262.0948652154452,288.3465861627324
2026-06-12,HM01,232.72570582879177,259.0432889089656,288.0593560722402
2026-06-13,HM01,232.3445083012544,262.8001116457549,290.4653198662548
2026-05-15,HM12,216.65662753299964,238.28401767613263,264.668566524102
2026-05-16,HM12,215.35575630606786,237.68398652685198,263.4527314084711
2026-05-17,HM12,215.69056815570474,236.43421283704583,262.9632202660211
2026-05-18,HM12,216.25714602970106,238.03767888452802,262.12189489971695
2026-05-19,HM12,215.04442043896046,237.30283733919146,263.870967786612
2026-05-20,HM12,214.33736495576485,236.21270631453103,258.8920748691854
2026-05-21,HM12,215.90287191583172,239.12475101775482,262.38631416466285
2026-05-22,HM12,217.48210699507857,235.36038894804642,262.65083460084713
2026-05-23,HM12,216.42303379980964,236.78439485294314,261.0095302188569
2026-05-24,HM12,214.5144733542797,236.83808556365562,263.66384435931985
2026-05-25,HM12,214.165563720259,238.31254700570457,257.81041004409144
2026-05-26,HM12,213.8022524123557,235.83385937991142,263.7169724704392
2026-05-27,HM12,215.209021590351,236.6560050654618,260.8193999376352
2026-05-28,HM12,213.90957320412554,235.57873314711378,260.3514499867182
2026-05-29,HM12,215.2111683057709,236.32308621972624,261.5996020619992
2026-05-30,HM12,215.12727575407843,236.59334948533933,263.49360473419233
2026-05-31,HM12,212.61894042891936,236.85067047124,260.34015634492664
2026-06-01,HM12,214.9008093258622,234.6344202281183,261.1751665015767
2026-06-02,HM12,215.12976589117778,235.42521762245568,262.8857948993392
2026-06-03,HM12,213.90192664793057,235.86252679754753,261.268888627165
2026-06-04,HM12,216.7374005959607,235.606669186917,262.55569851711107
2026-06-05,HM12,212.05622438690273,235.63845678531362,259.72266851921245
2026-06-06,HM12,211.3633562514925,235.5823816399939,260.66282068794334
2026-06-07,HM12,212.2002980700213,236.98462970310382,262.5856305161117
2026-06-08,HM12,215.7385162630879,236.3605431229875,261.5481126129271
2026-06-09,HM12,211.62050939680765,235.74544089868715,260.7532940126471
2026-06-10,HM12,213.09623398126104,234.29271451886984,262.20000116472426
2026-06-11,HM12,213.4541505545783,236.07651936315597,262.3798643003082
2026-06-12,HM12,215.1447745806022,235.06948225265523,261.72558553842657
2026-06-13,HM12,210.20824190957669,233.4283939265542,259.8995972638389
2026-05-15,HM13,144.19564245009119,168.06650957906533,192.71582650599677
2026-05-16,HM13,142.3246808883719,168.05967772836374,194.04673510054062
2026-05-17,HM13,139.91785311040832,166.3025038598699,192.59450012467548
2026-05-18,HM13,143.78772569966355,167.64634405144903,190.98655995058672
2026-05-19,HM13,144.44639900225695,168.3710473819675,192.69368128631052
2026-05-20,HM13,140.8721553674987,166.57153245758153,191.01672058224037
2026-05-21,HM13,144.7858811974156,168.26396851412238,192.6354041562079
2026-05-22,HM13,143.47977239027094,168.25257294571807,190.97158184258691
2026-05-23,HM13,144.26655936370355,169.04053211393034,191.4646352913429
2026-05-24,HM13,141.54963843053685,168.09513699418386,190.9200713908245
2026-05-25,HM13,143.53878398320867,167.36628976650337,191.23488007570498
