date,line,weekday,month,gal_ord,gal_avail,inv_gal_start,backlog_gal_start,gal_ship_mech,fill_rate_mech,predicted_fill_rate_model
2025-04-02,G2,2,4,135.6153846153846,113236.22644851918,9178040.651264427,11943.0,135.6153846153846,1.0,1.0
2025-04-02,P3,2,4,177.30769230769232,300546.9066616563,25424843.736332282,12620.0,177.30769230769232,1.0,1.0
2025-04-02,Q1,2,4,122.75,43327.771574824874,3642531.6916580894,12187.0,122.75,1.0,1.0
2025-04-03,G2,3,4,150.69230769230768,113236.22644851918,9291141.26232833,11943.0,150.69230769230768,1.0,1.0
2025-04-03,P3,3,4,197.69230769230768,300546.9066616563,25725213.33530163,12620.0,197.69230769230768,1.0,1.0
2025-04-03,Q1,3,4,181.69230769230768,43327.771574824874,3685736.7132329145,12187.0,181.69230769230768,1.0,1.0
2025-04-04,G2,4,4,151.76923076923077,113236.22644851918,9404226.796469158,11943.0,151.76923076923077,1.0,1.0
2025-04-04,P3,4,4,128.46153846153845,300546.9066616563,26025562.549655594,12620.0,128.46153846153845,1.0,1.0
2025-04-04,Q1,4,4,78.75,43327.771574824874,3728882.792500047,12187.0,78.75,1.0,1.0
2025-04-05,G2,5,4,93.53846153846153,113236.22644851918,9517311.253686907,11943.0,93.53846153846153,1.0,1.0
2025-04-05,P3,5,4,116.15384615384616,300546.9066616563,26325980.99477879,12620.0,116.15384615384616,1.0,1.0
2025-04-05,Q1,5,4,138.15384615384616,43327.771574824874,3772131.814074872,12187.0,138.15384615384616,1.0,1.0
2025-04-06,G2,6,4,103.92307692307692,113236.22644851918,9630453.941673888,11943.0,103.92307692307692,1.0,1.0
2025-04-06,P3,6,4,102.6923076923077,300546.9066616563,26626411.747594293,12620.0,102.6923076923077,1.0,1.0
2025-04-06,Q1,6,4,109.71153846153847,43327.771574824874,3815321.431803543,12187.0,109.71153846153847,1.0,1.0
2025-04-07,G2,0,4,160.92307692307693,113236.22644851918,9743586.245045483,11943.0,160.92307692307693,1.0,1.0
2025-04-07,P3,0,4,122.6923076923077,300546.9066616563,26926855.961948257,12620.0,122.6923076923077,1.0,1.0
2025-04-07,Q1,0,4,214.28846153846155,43327.771574824874,3858539.4918399067,12187.0,214.28846153846155,1.0,1.0
2025-04-08,G2,1,4,153.07692307692307,113236.22644851918,9856661.548417078,11943.0,153.07692307692307,1.0,1.0
2025-04-08,P3,1,4,173.84615384615384,300546.9066616563,27227280.17630222,12620.0,173.84615384615384,1.0,1.0
2025-04-08,Q1,1,4,161.51923076923077,43327.771574824874,3901652.974953193,12187.0,161.51923076923077,1.0,1.0
2025-04-09,G2,2,4,135.6153846153846,113236.22644851918,9969744.697942521,11943.0,135.6153846153846,1.0,1.0
2025-04-09,P3,2,4,177.30769230769232,300546.9066616563,27527653.23681003,12620.0,177.30769230769232,1.0,1.0
2025-04-09,Q1,2,4,122.75,43327.771574824874,3944819.2272972493,12187.0,122.75,1.0,1.0
2025-04-10,G2,3,4,150.69230769230768,113236.22644851918,10082845.309006425,11943.0,150.69230769230768,1.0,1.0
2025-04-10,P3,3,4,197.69230769230768,300546.9066616563,27828022.835779376,12620.0,197.69230769230768,1.0,1.0
2025-04-10,Q1,3,4,181.69230769230768,43327.771574824874,3988024.2488720743,12187.0,181.69230769230768,1.0,1.0
2025-04-11,G2,4,4,151.76923076923077,113236.22644851918,10195930.843147252,11943.0,151.76923076923077,1.0,1.0
2025-04-11,P3,4,4,128.46153846153845,300546.9066616563,28128372.05013334,12620.0,128.46153846153845,1.0,1.0
2025-04-11,Q1,4,4,78.75,43327.771574824874,4031170.328139207,12187.0,78.75,1.0,1.0
2025-04-12,G2,5,4,93.53846153846153,113236.22644851918,10309015.300365001,11943.0,93.53846153846153,1.0,1.0
2025-04-12,P3,5,4,116.15384615384616,300546.9066616563,28428790.495256536,12620.0,116.15384615384616,1.0,1.0
2025-04-12,Q1,5,4,138.15384615384616,43327.771574824874,4074419.349714032,12187.0,138.15384615384616,1.0,1.0
2025-04-13,G2,6,4,103.92307692307692,113236.22644851918,10422157.988351982,11943.0,103.92307692307692,1.0,1.0
2025-04-13,P3,6,4,102.6923076923077,300546.9066616563,28729221.24807204,12620.0,102.6923076923077,1.0,1.0
2025-04-13,Q1,6,4,109.71153846153847,43327.771574824874,4117608.967442703,12187.0,109.71153846153847,1.0,1.0
2025-04-14,G2,0,4,160.92307692307693,113236.22644851918,10535290.291723577,11943.0,160.92307692307693,1.0,1.0
2025-04-14,P3,0,4,122.6923076923077,300546.9066616563,29029665.462426003,12620.0,122.6923076923077,1.0,1.0
2025-04-14,Q1,0,4,214.28846153846155,43327.771574824874,4160827.0274790665,12187.0,214.28846153846155,1.0,1.0
2025-04-15,G2,1,4,153.07692307692307,113236.22644851918,10648365.595095173,11943.0,153.07692307692307,1.0,1.0
2025-04-15,P3,1,4,173.84615384615384,300546.9066616563,29330089.676779967,12620.0,173.84615384615384,1.0,1.0
2025-04-15,Q1,1,4,161.51923076923077,43327.771574824874,4203940.5105923535,12187.0,161.51923076923077,1.0,1.0
2025-04-16,G2,2,4,135.6153846153846,113236.22644851918,10761448.744620616,11943.0,135.6153846153846,1.0,1.0
2025-04-16,P3,2,4,177.30769230769232,300546.9066616563,29630462.737287775,12620.0,177.30769230769232,1.0,1.0
2025-04-16,Q1,2,4,122.75,43327.771574824874,4247106.76293641,12187.0,122.75,1.0,1.0
2025-04-17,G2,3,4,150.69230769230768,113236.22644851918,10874549.355684519,11943.0,150.69230769230768,1.0,1.0
2025-04-17,P3,3,4,197.69230769230768,300546.9066616563,29930832.336257122,12620.0,197.69230769230768,1.0,1.0
2025-04-17,Q1,3,4,181.69230769230768,43327.771574824874,4290311.784511235,12187.0,181.69230769230768,1.0,1.0
2025-04-18,G2,4,4,151.76923076923077,113236.22644851918,10987634.889825346,11943.0,151.76923076923077,1.0,1.0
2025-04-18,P3,4,4,128.46153846153845,300546.9066616563,30231181.550611086,12620.0,128.46153846153845,1.0,1.0
2025-04-18,Q1,4,4,78.75,43327.771574824874,4333457.863778368,12187.0,78.75,1.0,1.0
2025-04-19,G2,5,4,93.53846153846153,113236.22644851918,11100719.347043095,11943.0,93.53846153846153,1.0,1.0
2025-04-19,P3,5,4,116.15384615384616,300546.9066616563,30531599.99573428,12620.0,116.15384615384616,1.0,1.0
2025-04-19,Q1,5,4,138.15384615384616,43327.771574824874,4376706.885353193,12187.0,138.15384615384616,1.0,1.0
2025-04-20,G2,6,4,103.92307692307692,113236.22644851918,11213862.035030076,11943.0,103.92307692307692,1.0,1.0
2025-04-20,P3,6,4,102.6923076923077,300546.9066616563,30832030.748549785,12620.0,102.6923076923077,1.0,1.0
2025-04-20,Q1,6,4,109.71153846153847,43327.771574824874,4419896.503081864,12187.0,109.71153846153847,1.0,1.0
2025-04-21,G2,0,4,160.92307692307693,113236.22644851918,11326994.338401671,11943.0,160.92307692307693,1.0,1.0
2025-04-21,P3,0,4,122.6923076923077,300546.9066616563,31132474.96290375,12620.0,122.6923076923077,1.0,1.0
2025-04-21,Q1,0,4,214.28846153846155,43327.771574824874,4463114.563118227,12187.0,214.28846153846155,1.0,1.0
2025-04-22,G2,1,4,153.07692307692307,113236.22644851918,11440069.641773267,11943.0,153.07692307692307,1.0,1.0
2025-04-22,P3,1,4,173.84615384615384,300546.9066616563,31432899.177257713,12620.0,173.84615384615384,1.0,1.0
2025-04-22,Q1,1,4,161.51923076923077,43327.771574824874,4506228.046231514,12187.0,161.51923076923077,1.0,1.0
2025-04-23,G2,2,4,135.6153846153846,113236.22644851918,11553152.79129871,11943.0,135.6153846153846,1.0,1.0
2025-04-23,P3,2,4,177.30769230769232,300546.9066616563,31733272.23776552,12620.0,177.30769230769232,1.0,1.0
2025-04-23,Q1,2,4,122.75,43327.771574824874,4549394.29857557,12187.0,122.75,1.0,1.0
2025-04-24,G2,3,4,150.69230769230768,113236.22644851918,11666253.402362613,11943.0,150.69230769230768,1.0,1.0
2025-04-24,P3,3,4,197.69230769230768,300546.9066616563,32033641.83673487,12620.0,197.69230769230768,1.0,1.0
2025-04-24,Q1,3,4,181.69230769230768,43327.771574824874,4592599.320150395,12187.0,181.69230769230768,1.0,1.0
2025-04-25,G2,4,4,151.76923076923077,113236.22644851918,11779338.93650344,11943.0,151.76923076923077,1.0,1.0
2025-04-25,P3,4,4,128.46153846153845,300546.9066616563,32333991.051088832,12620.0,128.46153846153845,1.0,1.0
2025-04-25,Q1,4,4,78.75,43327.771574824874,4635745.399417528,12187.0,78.75,1.0,1.0
2025-04-26,G2,5,4,93.53846153846153,113236.22644851918,11892423.39372119,11943.0,93.53846153846153,1.0,1.0
2025-04-26,P3,5,4,116.15384615384616,300546.9066616563,32634409.496212028,12620.0,116.15384615384616,1.0,1.0
2025-04-26,Q1,5,4,138.15384615384616,43327.771574824874,4678994.420992353,12187.0,138.15384615384616,1.0,1.0
2025-04-27,G2,6,4,103.92307692307692,113236.22644851918,12005566.08170817,11943.0,103.92307692307692,1.0,1.0
2025-04-27,P3,6,4,102.6923076923077,300546.9066616563,32934840.24902753,12620.0,102.6923076923077,1.0,1.0
2025-04-27,Q1,6,4,109.71153846153847,43327.771574824874,4722184.038721024,12187.0,109.71153846153847,1.0,1.0
2025-04-28,G2,0,4,160.92307692307693,113236.22644851918,12118698.385079766,11943.0,160.92307692307693,1.0,1.0
2025-04-28,P3,0,4,122.6923076923077,300546.9066616563,33235284.463381495,12620.0,122.6923076923077,1.0,1.0
2025-04-28,Q1,0,4,214.28846153846155,43327.771574824874,4765402.098757387,12187.0,214.28846153846155,1.0,1.0
2025-04-29,G2,1,4,153.07692307692307,113236.22644851918,12231773.68845136,11943.0,153.07692307692307,1.0,1.0
2025-04-29,P3,1,4,173.84615384615384,300546.9066616563,33535708.67773546,12620.0,173.84615384615384,1.0,1.0
